Value,Frequency
-4.688774017170818e-09,2
4.026164599984339e-09,0
-1.659963241531186e-09,0
7.1237187751933625e-09,0
-3.3160414932645062e-09,0
1.4868975226902387e-09,0
-5.183003936118618e-09,0
2.9588003911445794e-09,0
-4.3084450645485775e-09,0
-4.709515600539989e-09,0
-3.891840871344628e-09,0
-6.688208438821874e-10,0
-5.243639903554466e-10,0
5.039631385641321e-10,0
-3.464729904204156e-09,1
-1.4314627561990698e-09,1
5.238705775504014e-09,0
5.010465328449334e-09,0
-6.706803540057421e-10,0
-3.940596797306108e-10,0
-5.343006035068405e-09,0
-1.581662999525715e-09,0
-3.4768839726175607e-10,0
-4.9579808433691905e-09,0
-6.206696501050546e-09,0
-7.096069213866893e-10,0
-1.5531240572760492e-09,0
-2.1056491165899896e-09,0
-3.341062054088509e-09,1
-5.343449750316894e-09,0
5.636455932657038e-09,2
2.0361902769185675e-09,1
5.831128597291963e-09,2
4.141429143490242e-09,0
2.694411136110461e-09,1
-8.557938929448186e-09,0
8.067066525056696e-12,0
-4.4850359926589235e-09,3
-5.990430926651222e-09,0
-1.2957531018730801e-09,3
-4.824316825638673e-10,0
9.754281525439906e-09,0
-3.1757151109914047e-09,0
1.8920617978001027e-11,0
2.887803492905833e-09,0
7.338311765101644e-10,0
-9.982234360225445e-09,3
-3.960594028012829e-09,1
-2.37949308994518e-10,1
-1.5316996715612465e-09,1
3.366856646864114e-09,1
-1.7884769985790721e-09,1
6.067835083535543e-09,2
7.84160722438733e-09,1
-4.370748083278133e-09,2
-4.192096740556187e-09,2
3.675918343707475e-09,2
1.2598773034690215e-09,1
2.7795358565934865e-09,0
1.0067367720781766e-08,0
-6.238399255346088e-10,2
5.454101024181509e-09,0
2.141040955028767e-09,1
-8.636719582068988e-10,2
5.538584269749619e-09,1
6.173449048892127e-09,4
7.2736839642393986e-09,8
2.395950395399888e-09,1
3.646729334749873e-09,1
-3.885242799922642e-10,3
-3.2968379449714236e-09,2
2.5020747031497984e-09,0
1.499957283149096e-09,2
-3.098015038313513e-09,0
-6.996100338406893e-10,0
-6.561303038450577e-09,2
-1.3962461197875635e-10,1
-2.1207238613589866e-10,0
5.149179844979329e-10,1
-6.830344998566069e-09,0
-4.3771059292231064e-09,1
-7.57994020465054e-10,2
-1.0192148481723764e-10,1
4.056933583347397e-09,4
-6.702700409890758e-10,4
-1.148897040125019e-09,2
-2.994024907856182e-09,1
-9.812618843061675e-10,5
3.820546572466883e-09,1
-1.705826239321319e-09,1
1.7641553193772607e-10,1
2.215131274225256e-09,1
-2.992551953551082e-09,7
-5.945956213216829e-10,3
-1.4829189064521603e-09,3
-1.4697870673248879e-09,5
-5.224121172777315e-10,3
3.944034046461784e-09,3
-6.969337622066303e-09,3
-2.0494778857081616e-10,2
-3.738558581225154e-09,2
-3.3240606384322456e-09,2
1.5496638768171613e-09,2
-1.2178747789213458e-09,1
-9.112687439245378e-11,2
4.560953531014067e-09,0
2.78734063000688e-09,2
-3.6165342071955567e-09,0
-6.257123949382605e-09,0
-9.913565886806247e-09,0
-6.286425340560061e-10,2
-3.0426473475780694e-09,2
-8.040858960515522e-10,1
-3.350605343734701e-09,0
2.504808606634246e-09,2
-3.5398802578356157e-09,2
8.05989375122727e-09,0
3.883070868881297e-10,0
-5.0331590932032e-09,1
-6.7224600729459554e-09,1
-2.8963831801342216e-09,3
9.010903574784436e-09,2
6.517475700004195e-10,1
2.442060171132794e-09,2
-3.3563813115392745e-09,2
-6.920379475065466e-10,0
-3.277650691346555e-09,1
2.800683426060822e-09,5
-2.3821145309338512e-09,1
-3.691342121305088e-10,3
-5.997880478432544e-09,0
1.1439134290344306e-09,0
-2.3330271997021675e-09,2
2.1289871912553473e-09,2
-4.654061499676679e-09,0
-3.4009258785708706e-09,1
5.267964339397488e-09,1
-6.245887145475687e-09,1
9.803107109009485e-11,1
4.351350308442313e-09,1
7.704419929854636e-09,2
1.2143448634848043e-09,1
3.0226838682841733e-09,1
7.150839735430456e-09,1
-5.286461413213629e-09,0
-6.9459345612274586e-09,2
7.597133766910482e-09,0
-7.154778312066142e-09,0
3.222943473192595e-10,0
6.560408617443198e-09,1
2.194209638212829e-09,0
5.650867931081419e-09,1
4.647477192271409e-09,1
1.5703583626354695e-09,1
-3.1039603065052226e-10,1
-3.8270437612049765e-10,2
-1.9505326052383494e-09,0
-4.346486553195665e-09,2
4.4402015798261494e-09,0
-1.1966733268325417e-09,0
-2.716777193822981e-09,1
3.3351724443909384e-09,1
5.569187434804706e-11,0
-3.293371915802066e-09,0
-4.5560533224190795e-10,0
-1.2209113071947254e-09,1
-1.192478177062748e-09,0
-6.6766766855725634e-09,0
-3.3002739268773207e-10,0
1.8277836709871163e-10,0
2.785489984773082e-09,2
-1.5880771306849612e-09,0
2.7924298734798546e-09,1
-3.6064459534951032e-09,0
-2.925945846745563e-09,0
2.538798553039694e-10,1
2.2521676334786234e-09,1
-1.2008976340507767e-09,2
-4.80454502655108e-09,0
-5.0808846074604955e-09,1
4.223746102297842e-09,0
1.853915023777162e-09,0
-3.383403281857589e-09,0
2.9579751137726422e-09,0
-4.484737606779257e-09,0
-5.973575201052111e-09,0
2.0888642129151992e-09,0
3.3100562844262704e-09,0
-1.7668923319663642e-09,0
-8.45754492800159e-09,1
1.1959380684905352e-09,0
-2.38759917497621e-09,0
1.1247167626202289e-09,0
-3.4345315306629668e-09,0
5.799260344450068e-09,0
7.782965478055355e-09,0
-2.6932778587660823e-09,1
-1.4461846691228345e-09,0
-1.5677994973634778e-09,0
3.3795677898874286e-09,1
